# https://dtkaplan.shinyapps.io/Little_App_F/ --workers 5 --loaded-duration-minutes 1 --output-dir run1
# {"appUrl":"https://dtkaplan.shinyapps.io/Little_App_F/","debugLog":false,"loadedDurationMinutes":1.0,"logLevel":"WARN","outputDir":"run1","overwriteOutput":false,"recordingPath":"recording.log","workers":5}
session_id,worker_id,iteration,event,timestamp,input_line_number,comment
6,0,2,PLAYER_SESSION_CREATE,1584563130381,0,
6,0,2,REQ_HOME_START,1584563130381,4,
6,0,2,REQ_HOME_END,1584563132004,4,
6,0,2,REQ_GET_START,1584563132004,5,
6,0,2,REQ_GET_END,1584563132404,5,
6,0,2,REQ_GET_START,1584563132404,6,
6,0,2,REQ_GET_END,1584563133353,6,
6,0,2,REQ_GET_START,1584563133353,7,
6,0,2,REQ_GET_END,1584563135792,7,
6,0,2,REQ_GET_START,1584563135793,8,
6,0,2,REQ_GET_END,1584563136322,8,
6,0,2,REQ_GET_START,1584563136322,9,
6,0,2,REQ_GET_END,1584563137032,9,
6,0,2,REQ_GET_START,1584563137032,10,
6,0,2,REQ_GET_END,1584563137637,10,
6,0,2,REQ_GET_START,1584563137637,11,
6,0,2,REQ_GET_END,1584563138067,11,
6,0,2,REQ_GET_START,1584563138067,12,
6,0,2,REQ_GET_END,1584563138468,12,
6,0,2,REQ_GET_START,1584563138468,13,
6,0,2,REQ_GET_END,1584563139133,13,
6,0,2,REQ_GET_START,1584563139133,14,
6,0,2,REQ_GET_END,1584563139896,14,
6,0,2,REQ_GET_START,1584563139896,15,
6,0,2,REQ_GET_END,1584563141212,15,
6,0,2,REQ_GET_START,1584563141212,16,
6,0,2,REQ_GET_END,1584563142494,16,
6,0,2,REQ_GET_START,1584563142494,17,
6,0,2,REQ_GET_END,1584563143503,17,
6,0,2,REQ_GET_START,1584563143503,18,
6,0,2,REQ_GET_END,1584563144562,18,
6,0,2,REQ_GET_START,1584563144562,19,
6,0,2,REQ_GET_END,1584563145707,19,
6,0,2,REQ_GET_START,1584563145707,20,
